Identifier,Speaker,String,Day,Follows,End
DAY_002_BRIEF_F,,You've done well these past three months. We're pleased.,2,DAY_002_BRIEF_E,
DAY_002_TITLE_A,,Jun. 7 2048. Morning Press Conference.,2,,
DAY_002_TOPIC_A,,Product Announcements,2,,
DAY_002_TALK_A,,Last month we mentioned some promising breakthroughs on quantum display technology.,2,,
DAY_002_TALK_B,,Today we'd like to announce that starting next fall we'll be launching the QuanTech line.,2,DAY_002_TALK_A,
DAY_002_TALK_C,,"As a result of this, we'll be discontinuing all of our holographic display products.",2,DAY_002_TALK_B,
DAY_002_QUE_A,Wurda (TechSave.Us),"The only method of safely recycling holodisplays is, as you know, currently very expensive. Now that you plan to retire them en masse, will there be any subsidies towards recycling programs?",2,DAY_002_TALK_C,
DAY_002_RES_A,,Sustainability is important to us. We're in the initial planning stages of a similar program.,2,DAY_002_QUE_A,TRUE
DAY_002_RES_B,,Nothing to announce at this time.,2,DAY_002_QUE_A,TRUE
DAY_002_RES_C,,"We don't have any plans to subsidize recycling programs, no.",2,DAY_002_QUE_A,TRUE
DAY_002_QUE_B,Kevin (UGeo),Don't you think that's irresponsible?,2,DAY_002_RES_C,
DAY_002_RES_D,,We're under no obligation to incur the extra costs.,2,DAY_002_QUE_B,TRUE
DAY_002_RES_E,,"Of course, but it's a big expense for something as abstract as sustainibility.",2,DAY_002_QUE_B,TRUE
DAY_002_TALK_D,,That's all for today. Thank you.,2,DAY_002_QUE_B,TRUE
DAY_002_QUE_C,Freddie (Mercury),"Speaking of Pecarran technology, it's Tuesday. Where's our weekly update from the technology embassy?",2,DAY_002_TALK_A,
DAY_002_RES_F,,"We don't know. We haven't gotten it, and we don't know why.",2,DAY_002_QUE_C,TRUE
DAY_002_RES_G,,"It's not on the schedule, Freddie, don't stop me now.",2,DAY_002_QUE_C,TRUE
DAY_002_RES_H,,"We think there was some debris in the path of the transmission, the burst transmission we got was corrupted.",2,DAY_002_QUE_C,TRUE
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ALIEN_000_TOP_A,,Missed Message from Pecar,1,,
ALIEN_000_STA_A,,"Yesterday at around 9PM IBM Standard Time, SETI experienced a major satellite malfunction.",1,,
ALIEN_000_STA_B,,"Yesterday morning, the Search for Extraterrestrial Intelligence suffered an accidental explosion, putting a major satellite out of commission.",1,,
ALIEN_000_STA_C,,A recent explosion at SETI has jeopardized their ability to communicate with our extraterrestrial allies.,1,,
ALIEN_000_STA_D,,This resulted in the loss of almost 40% of the information in the latest communication from Pecar.,1,A B,
ALIEN_000_STA_E,,"As a result, a significant portion of the recent message from Pecar was not received.",1,A B,
ALIEN_000_STA_F,,We are currently investigating the possibility that this is a terrorist attack.,1,C,
ALIEN_000_STA_G,,This is the first major lapse in communication between Earth and Pecar since we made first contact in 2029.,1,D E F,
